axis,wHoff,wJerk,rHoff,rJerk,nPeaks,T,D,Vm
2,0.314597521063091,0.223366126387335,0.791203651177173,0.811692080008065,5,0.891705899999998,0.016204126161662,0.017968404478697
2,0.659949413705098,0.499157288430758,0.080038226961053,0.125110649068528,7,0.908373300000001,0.016040638530169,0.017563747521863
2,0.319602805112887,0.222222727181772,0.931858111363225,0.887167051871482,1,0.200008799999999,0.003448957129400,0.016897731676514
2,0.347082798537215,0.278539915140787,0.795561256729991,0.771641863584803,1,0.233343599999998,0.003808466274808,0.015596166230046
2,0.851718121724650,0.548113932932049,0.839084533163532,0.839269070627425,2,0.416685000000001,0.005197838792432,0.012424923518656
2,0.604850593070817,0.375219300674447,0.560259046529972,0.685071766528500,2,0.308346900000004,0.007422930373769,0.023575608408312
2,0.783231811916042,0.509130254243860,0.669247383739725,0.709995058354769,2,0.316680599999998,0.003952745216486,0.012354900131781
2,1.153510728766749,0.923726973617617,0.025592017181534,0.050791200680054,2,0.283345799999992,0.003410622727597,0.011977548015997
2,0.530073370874009,0.355055413916648,0.486259292469801,0.565059153042590,4,0.550024200000010,0.010180875467240,0.018251638286889
2,0.583367172563176,0.410443651867724,0.245659874272011,0.343019699049652,6,0.675029699999996,0.012956290117937,0.019062641620411
2,0.781535269712797,0.583240108412907,0.005728829656488,0.047388906420964,4,0.433352400000004,0.007813176526083,0.017510083666447
2,0.658602659819248,0.478948192188424,0.193569120409718,0.273563705220510,3,0.416684999999987,0.005232894850035,0.012327168305121
2,0.706863770303414,0.469255875887251,0.478953101779689,0.574009485906524,3,0.466687199999996,0.006361300355251,0.013462053900820
2,0.311263851530818,0.309512923427782,0.768644053219118,0.722257591909900,4,0.633361199999996,0.011479660194088,0.017934830501295
2,0.605948413340395,0.468968704027880,0.258154204214308,0.306460346196304,6,0.833370000000002,0.017376328049387,0.020684799875766
2,0.354772911383347,0.284066628819619,0.887145322284142,0.844249154220915,1,0.191675099999998,0.003344931166764,0.017026605568122
2,0.736711775886180,0.505890368328415,0.571291639168744,0.604091386074260,3,0.558357899999990,0.012566343038300,0.022298907037105
2,0.671041318798714,0.453898839325000,0.396849331301163,0.501151955025888,4,0.516689400000004,0.009701962798460,0.018542915874198
2,0.235161799701553,0.197976001020487,0.893537629088963,0.910818362986691,2,0.350015400000004,0.003389873734133,0.009442324600780
2,0.243383379788237,0.137915105464111,0.886714269262519,0.939173114930013,4,0.525023099999999,0.005540400270980,0.010386357526990
2,0.407458649359897,0.222978143794916,0.884846138448351,0.897704004131005,3,0.391683900000004,0.005844100914085,0.014735500408595
2,0.458480507573583,0.319605044329726,0.536955296313797,0.619364551406538,6,0.916707000000002,0.019124161149952,0.020701281867368
2,0.556926993421345,0.499818569048873,0.473834015848683,0.512646429242155,2,0.300013200000009,0.007376230254401,0.023875753136309
2,0.598115873460481,0.428895404670689,0.343551624244463,0.439257885920051,2,0.425018699999995,0.008611819318224,0.019768017686722
2,0.256134785004363,0.334312091877269,0.877630438272622,0.798941963877724,1,0.183341400000003,0.004308933855047,0.022809700125205
2,0.347203207521321,0.227639869366699,0.791304004860144,0.818859253049069,2,0.250011000000001,0.003716542362532,0.014370614636122
2,0.490753527410882,0.461173273121145,0.465344097425099,0.417605163806767,2,0.300013200000000,0.003429071730023,0.011332479964491
2,0.338044945202465,0.311124726390412,0.769806623138954,0.656963463772855,1,0.266678400000000,0.003222066872547,0.011417163286426
2,0.135781119054299,0.270381488462573,0.973068648583295,0.891593924438220,1,0.125005500000000,0.003166596056022,0.024187685951745
2,0.478873354825403,0.332050920935789,0.522275435681387,0.635156729086201,2,0.316680600000000,0.003977634588357,0.012212462605135
2,0.666030084718311,0.455322796786242,0.433203606812862,0.553778773646169,2,0.166674000000000,0.003369821511490,0.019453198803270
2,0.550201736766954,0.568600114913377,0.481038859252231,0.424901815394254,2,0.275012100000000,0.004068019623249,0.014177650823140
2,0.371216806866822,0.283617840275579,0.728453950662238,0.721079348756860,4,0.433352399999999,0.013553291010971,0.030756811199648
2,0.303034459258362,0.210439768306581,0.868517650082398,0.893171298199979,1,0.125005500000000,0.003407586113223,0.025304927504446
2,0.455858260756296,0.404972374726895,0.593174237119184,0.584413047490269,2,0.300013200000002,0.004361587651488,0.014150455246945
